; Core Asterisk Sounds in Chinese (中文)
; Generated using Piper TTS (zh_CN-huayan-medium)
; Sample rate: 22050 Hz, mono, 16-bit PCM WAV
; Total entries: 541
;
activated: 已激活。
conf-locked: 此会议已锁定！
conf-lockednow: 会议现已锁定
conf-muted: 您已被静音
conf-noempty: 当前没有空闲的会议。
conf-nonextended: 会议无法延长。
conf-now-muted: 会议现已静音。
conf-now-recording: 会议正在录音。
conf-now-unmuted: 会议已取消静音。
conf-onlyone: 当前会议中还有一位其他参与者。
conf-onlyperson: 您目前是此会议中唯一的参与者。
conf-otherinparty: 位其他参与者在会议中
conf-placeintoconf: 您现在将被接入会议。
conf-roll-callcomplete: 参会人员名单播放完毕。
conf-thereare: 当前有
conf-unlockednow: 会议现已解锁
conf-unmuted: 您已取消静音
conf-usermenu: 请按1静音或取消静音，按4或6降低或提高会议音量，按7或9降低或提高您的音量，或按8退出。
conf-usermenu-162: 请按1静音或取消静音，按4或6降低或提高会议音量，按5延长会议，按7或9降低或提高您的音量，或按8退出此菜单并返回会议。
conf-userswilljoin: 位用户将加入会议。
conf-userwilljoin: 位用户将加入会议。
conf-waitforleader: 会议将在主持人到达后开始。
confbridge-begin-glorious-a: 会议将在我们尊敬的主持人到达后开始
confbridge-begin-glorious-b: 会议将在我们尊敬的主持人到达后开始
confbridge-begin-glorious-c: 会议将在我们尊敬的主持人到达后开始
confbridge-begin-leader: 会议将在主持人到达后开始
confbridge-binaural-off: 三维音频已禁用
confbridge-binaural-on: 三维音频已启用
confbridge-conf-begin: 会议现在开始
confbridge-conf-end: 会议已结束
confbridge-dec-list-vol-in: 要降低其他参与者的音频音量...
confbridge-dec-list-vol-out: ...降低其他参与者的音频音量。
confbridge-dec-talk-vol-in: 要降低您对其他参与者的讲话音量...
confbridge-dec-talk-vol-out: ...降低您对其他参与者的讲话音量。
confbridge-has-joined: ...已加入会议。
confbridge-has-left: ...已离开会议。
confbridge-inc-list-vol-in: 要提高其他参与者的音频音量...
confbridge-inc-list-vol-out: ...提高其他参与者的音频音量。
confbridge-inc-talk-vol-in: 要提高您对其他参与者的讲话音量...
confbridge-inc-talk-vol-out: ...提高您对其他参与者的讲话音量。
confbridge-invalid: 您输入的选项无效。
confbridge-leave-in: 要离开会议...
confbridge-leave-out: ...离开会议。
confbridge-lock-extended: ...锁定或解锁会议。当会议被锁定时，只有会议管理员可以加入。
confbridge-lock-in: 要锁定或解锁会议...
confbridge-lock-no-join: 会议当前已锁定，无法加入。
confbridge-lock-out: ...锁定或解锁会议。
confbridge-locked: 会议现已锁定。
confbridge-menu-exit-in: 要退出菜单...
confbridge-menu-exit-out: ...退出菜单。
confbridge-mute-extended: ...静音或取消静音。当您被静音时，您无法向其他参与者发送音频。但您仍然可以听到其他未静音参与者的音频。
confbridge-mute-in: 要静音或取消静音...
confbridge-mute-out: ...静音或取消静音。
confbridge-muted: 您已被静音。
confbridge-only-one: 当前会议中还有一位其他参与者。
confbridge-only-participant: 您目前是会议中唯一的参与者。
confbridge-participants: ...位参与者在会议中。
confbridge-pin: 请输入您的个人识别码，然后按井号键。
confbridge-pin-bad: 您输入了过多无效的个人识别码。
confbridge-remove-last-in: 要移除最近加入会议的参与者...
confbridge-remove-last-out: ...移除最近加入会议的参与者。
confbridge-removed: 您已被移出会议。
confbridge-rest-list-vol-in: 要将会议音频音量重置为默认级别...
confbridge-rest-list-vol-out: ...将会议音频音量重置为默认级别。
confbridge-rest-talk-vol-in: 要将您的讲话音量重置为默认级别...
confbridge-rest-talk-vol-out: ...将您的讲话音量重置为默认级别。
confbridge-there-are: 当前有...
confbridge-unlocked: 会议现已解锁。
confbridge-unmuted: 您已取消静音。
de-activated: 已停用。
dictate/both_help: 按星号键切换暂停，按井号键输入新的听写文件名
dictate/enter_filename: 请输入数字听写文件名后按井号键，或直接按井号键退出
dictate/forhelp: 按0获取帮助
dictate/pause: 暂停
dictate/paused: 已暂停
dictate/play_help: 按1切换到录音模式，按2切换快速播放，按7向后跳转，按8向前跳转
dictate/playback: 播放
dictate/playback_mode: 播放模式
dictate/record: 录音
dictate/record_help: 按1切换到播放模式，按8截断文件并重新开始
dictate/record_mode: 录音模式
dictate/truncating_audio: 正在截断音频
digits/0: 零
digits/1: 一
digits/10: 十
digits/11: 十一
digits/12: 十二
digits/13: 十三
digits/14: 十四
digits/15: 十五
digits/16: 十六
digits/17: 十七
digits/18: 十八
digits/19: 十九
digits/2: 二
digits/20: 二十
digits/3: 三
digits/30: 三十
digits/4: 四
digits/40: 四十
digits/5: 五
digits/50: 五十
digits/6: 六
digits/60: 六十
digits/7: 七
digits/70: 七十
digits/8: 八
digits/80: 八十
digits/9: 九
digits/90: 九十
digits/a-m: 上午
digits/at: 在
digits/billion: 十亿
digits/day-0: 星期日
digits/day-1: 星期一
digits/day-2: 星期二
digits/day-3: 星期三
digits/day-4: 星期四
digits/day-5: 星期五
digits/day-6: 星期六
digits/dollars: 元
digits/h-1: 第一
digits/h-10: 第十
digits/h-11: 第十一
digits/h-12: 第十二
digits/h-13: 第十三
digits/h-14: 第十四
digits/h-15: 第十五
digits/h-16: 第十六
digits/h-17: 第十七
digits/h-18: 第十八
digits/h-19: 第十九
digits/h-2: 第二
digits/h-20: 第二十
digits/h-3: 第三
digits/h-30: 第三十
digits/h-4: 第四
digits/h-40: 第四十
digits/h-5: 第五
digits/h-50: 第五十
digits/h-6: 第六
digits/h-60: 第六十
digits/h-7: 第七
digits/h-70: 第七十
digits/h-8: 第八
digits/h-80: 第八十
digits/h-9: 第九
digits/h-90: 第九十
digits/h-billion: 第十亿
digits/h-hundred: 第一百
digits/h-million: 第一百万
digits/h-thousand: 第一千
digits/hundred: 百
digits/million: 百万
digits/minus: 负
digits/mon-0: 一月
digits/mon-1: 二月
digits/mon-10: 十一月
digits/mon-11: 十二月
digits/mon-2: 三月
digits/mon-3: 四月
digits/mon-4: 五月
digits/mon-5: 六月
digits/mon-6: 七月
digits/mon-7: 八月
digits/mon-8: 九月
digits/mon-9: 十月
digits/oclock: 点
digits/oh: 零
digits/p-m: 下午
digits/pound: 井号键
digits/star: 星号键
digits/thousand: 千
digits/today: 今天
digits/tomorrow: 明天
digits/yesterday: 昨天
dir-first: 您要查找的人的名字的字母。
dir-firstlast: ……您要查找的人的名字或姓氏的字母。
dir-instr: 如果这是您要找的人，请现在按1，否则请按星号键。
dir-intro: 欢迎使用电话簿。请使用按键输入您要查找的人的姓氏的前三个字母。按7代表Q，按9代表Z。
dir-intro-fn: 欢迎使用电话簿。请使用按键输入您要查找的人的名字的前三个字母。按7代表Q，按9代表Z。
dir-last: ……您要查找的人的姓氏的字母。
dir-multi1: 按……
dir-multi2: ……代表……
dir-multi3: ……分机……
dir-multi9: 按9查看更多条目。
dir-nomatch: 没有与您搜索匹配的电话簿条目。
dir-nomore: 电话簿中没有更多匹配的条目。
dir-pls-enter: 请输入前……
dir-usingkeypad: ……使用按键输入。按7代表Q，按9代表Z。
dir-welcome: 欢迎使用电话簿
disabled: 已禁用。
do-not-disturb: 免打扰。
enabled: 已启用。
enter-num-blacklist: 请输入要加入黑名单的号码。
entr-num-rmv-blklist: 请输入要从黑名单中移除的号码。
extension: 分机。
feature-not-avail-line: 此线路不支持该功能。
followme/call-from: 来电来自
followme/no-recording: 您有一个来电
followme/options: 按1接听此来电，按2拒绝
followme/pls-hold-while-try: 请稍候，我正在为您查找被叫方
followme/sorry: 抱歉，我们无法找到您要呼叫的人
followme/status: 您拨打的人不在座位上；我将为您尝试查找
for: 代表。
from-unknown-caller: 来自未知来电者。
goodbye: 再见！
hello: 您好。
hello-world: 您好，世界。
hours: 小时
if-correct-press: 如果正确，请按……
im-sorry: 抱歉。
info-about-last-call: 关于您上次通话的信息。
invalid: 抱歉，该分机号码无效。请重试。
is: 是。
is-in-use: 正在使用中。
is-set-to: 已设置为。
letters/a: 诶
letters/ascii123: 左花括号
letters/ascii124: 竖线
letters/ascii125: 右花括号
letters/ascii126: 波浪号
letters/ascii34: 引号
letters/ascii36: 美元符号
letters/ascii37: 百分号
letters/ascii38: 和号
letters/ascii39: 撇号
letters/ascii40: 左括号
letters/ascii41: 右括号
letters/ascii42: 星号
letters/ascii44: 逗号
letters/ascii58: 冒号
letters/ascii59: 分号
letters/ascii60: 小于号
letters/ascii62: 大于号
letters/ascii63: 问号
letters/ascii91: 左方括号
letters/ascii92: 反斜杠
letters/ascii93: 右方括号
letters/ascii94: 插入符号
letters/ascii95: 下划线
letters/ascii96: 反引号
letters/asterisk: 星号
letters/at: 艾特
letters/b: 必
letters/c: 西
letters/d: 迪
letters/dash: 破折号
letters/dollar: 美元
letters/dot: 点
letters/e: 伊
letters/equals: 等号
letters/exclaimation-point: 感叹号
letters/f: 艾弗
letters/g: 吉
letters/h: 艾尺
letters/i: 艾
letters/j: 杰
letters/k: 凯
letters/l: 艾勒
letters/m: 艾姆
letters/n: 艾恩
letters/o: 欧
letters/p: 皮
letters/plus: 加号
letters/q: 克尤
letters/r: 艾儿
letters/s: 艾斯
letters/slash: 斜杠
letters/space: 空格
letters/t: 提
letters/u: 尤
letters/v: 维
letters/w: 达布尤
letters/x: 艾克斯
letters/y: 歪
letters/z: 贼德
letters/zed: 贼德
location: 位置。
lowercase: 小写
minute: 分钟
minutes: 分钟
num-was-successfully: 号码已成功……
number: 号码。
number-not-answering: 该号码无人接听。
one-moment-please: 请稍候。
pbx-invalid: 抱歉，该分机号码无效。请重试。
pbx-invalidpark: 抱歉，该分机上没有停放的呼叫。请重试。
pbx-parkingfailed: 呼叫停放失败。
pbx-transfer: 转接。
phonetic/9_p: 纳伊纳（Niner）
phonetic/a_p: 阿尔法（Alpha）
phonetic/b_p: 布拉沃（Bravo）
phonetic/c_p: 查理（Charlie）
phonetic/d_p: 德尔塔（Delta）
phonetic/e_p: 回声（Echo）
phonetic/f_p: 狐步（Foxtrot）
phonetic/g_p: 高尔夫（Golf）
phonetic/h_p: 酒店（Hotel）
phonetic/i_p: 印度（India）
phonetic/j_p: 朱丽叶（Juliet）
phonetic/k_p: 千克（Kilo）
phonetic/l_p: 利马（Lima）
phonetic/m_p: 迈克（Mike）
phonetic/n_p: 十一月（November）
phonetic/o_p: 奥斯卡（Oscar）
phonetic/p_p: 帕帕（Papa）
phonetic/q_p: 魁北克（Quebec）
phonetic/r_p: 罗密欧（Romeo）
phonetic/s_p: 塞拉（Sierra）
phonetic/t_p: 探戈（Tango）
phonetic/u_p: 制服（Uniform）
phonetic/v_p: 维克多（Victor）
phonetic/w_p: 威士忌（Whiskey）
phonetic/x_p: 爱克斯光（X-ray）
phonetic/y_p: 扬基（Yankee）
phonetic/z_p: 祖鲁（Zulu）
please-try-again: 请重试。
please-try-call-later: 请稍后再拨。
pls-hold-while-try: 请稍候，我们正在为您接通。
pls-try-call-later: 请稍后再拨。
pm-invalid-option: 该选项无效。请重试。
priv-callee-options: 按1允许该来电者现在及以后直接联系您。按2将该来电者现在及以后转入语音信箱。按3将该来电者现在及以后转入骚扰菜单。按4将该来电者现在及以后转入礼貌的"请勿来电"菜单。按5允许该来电者以后直接联系您，但这次转入语音信箱。
priv-callpending: 有一位来电者正在等待，自我介绍为：
priv-introsaved: 谢谢。请稍候，我正在为您接通对方！
priv-recordintro: 听到提示音后，请说出您的姓名。
privacy-incorrect: 抱歉，该号码无效。
privacy-prompt: 请输入您的电话号码，从区号开始。
privacy-thankyou: 谢谢您。
privacy-to-blacklist-last-caller: 上一位来电者是……
privacy-unident: 您拨打的人不接受未识别的来电。
queue-callswaiting: 正在等待与客服代表通话
queue-holdtime: 当前预计等待时间为
queue-less-than: 不到
queue-minute: 分钟
queue-minutes: 分钟
queue-periodic-announce: 我们所有的客服代表当前都在忙碌中。请继续等待，下一位空闲的客服代表将为您服务。
queue-quantity1: 当前有超过...
queue-quantity2: ...位来电者正在等待与客服代表通话。
queue-reporthold: 等待时间
queue-seconds: 秒
queue-thankyou: 感谢您的耐心等待
queue-thereare: 您目前排在第
queue-youarenext: 您的来电目前排在第一位，下一位空闲的客服代表将为您服务。
removed: 已移除。
screen-callee-options: 您有以下选项：按1立即接通来电。按2将该来电者转入语音信箱。按3将该来电者转入骚扰菜单。按4将该来电者转入礼貌的"请勿来电"菜单。
second: 秒
seconds: 秒
simul-call-limit-reached: 已达到同时呼叫上限。
something-terribly-wrong: 发生了严重错误！
sorry: 很抱歉。
sorry-youre-having-problems: 抱歉给您带来了不便。
speed-dial: 快速拨号。
speed-dial-empty: 您访问的快速拨号条目为空。
spy-agent: Agent
spy-console: Console
spy-dahdi: DAHDI
spy-h323: H.323
spy-iax: IAX
spy-iax2: IAX
spy-jingle: Jingle
spy-local: Local
spy-mgcp: MGCP
spy-misdn: M I S D N
spy-mobile: Bluetooth Mobile
spy-nbs: N B S
spy-sip: SIP
spy-skinny: Skinny
spy-unistim: Unistim
spy-usbradio: USB Radio
spy-zap: Zap
ss-noservice: 您拨打的号码不在服务区。请核实号码后重试。
telephone-number: 电话号码。
time: 时间。
to-call-this-number: 要拨打此号码。
to-extension: 转分机。
to-listen-to-it: 要收听。
to-rerecord-it: 要重新录制。
transfer: 请稍候，正在为您转接该分机。
tt-allbusy: 所有客服代表目前正在为其他来电者服务。请继续等待，我们将按来电顺序为您服务。
tt-monkeysintro: 他们已经被猴子带走了
tt-somethingwrong: 发生了严重错误
tt-weasels: 我们的电话系统出现了故障
unidentified-no-callback: 未识别或已隐藏，因此无法回拨。
uppercase: 大写
vm-Cust1: 文件夹5
vm-Cust2: 文件夹6
vm-Cust3: 文件夹7
vm-Cust4: 文件夹8
vm-Cust5: 文件夹9
vm-Family: 家人
vm-Friends: 朋友
vm-INBOX: 新消息
vm-Old: 旧消息
vm-Urgent: 紧急
vm-Work: 工作
vm-advopts: 按3进入高级选项
vm-and: 和
vm-calldiffnum: 按2输入其他号码
vm-changeto: 切换到哪个文件夹？
vm-delete: 按7删除此消息。
vm-deleted: 消息已删除。
vm-dialout: 请稍候，正在为您接通电话
vm-duration: 此消息时长为……
vm-enter-num-to-call: 请输入您要拨打的号码
vm-extension: 分机
vm-first: 第一条
vm-for: 代表
vm-forward: 按1输入分机号，按2使用电话簿
vm-forward-multiple: 按1发送此消息，按2添加其他收件人。
vm-forwardoptions: 按1附加前言后转发，按2直接转发消息
vm-from: 来自
vm-from-extension: 来自分机的消息
vm-from-phonenumber: 来自电话号码的消息
vm-goodbye: 再见
vm-helpexit: 按星号键获取帮助，按井号键退出。
vm-incorrect: 登录错误。
vm-incorrect-mailbox: 登录错误。请输入信箱号码？
vm-instructions: 要查看您的消息，请现在按1。您可以随时按井号键退出语音信箱。
vm-intro: 请在提示音后留言。完成后请挂机或按井号键。
vm-invalid-password: 该密码不符合此信箱的最低要求。请重试。
vm-invalidpassword: 该密码无效。请重试。
vm-isonphone: 正在通话中
vm-isunavail: 暂时无法接听
vm-last: 最后一条
vm-leavemsg: 按5留言
vm-login: 语音信箱系统。请输入信箱号码？
vm-mailboxfull: 抱歉，该用户的信箱已满，无法接收更多消息
vm-marked-nonurgent: 已取消紧急标记。
vm-marked-urgent: 消息已标记为紧急。
vm-message: 条消息
vm-messages: 条消息
vm-minutes: 分钟
vm-mismatch: 您输入的密码与确认密码不一致。请重试。
vm-msgforwarded: 您的消息已成功转发。
vm-msginstruct: 按6收听下一条消息，按5重听此消息，按4收听上一条消息，按0删除或恢复此消息，按井号键退出语音信箱。
vm-msgsaved: 您的消息已保存。
vm-newpassword: 请输入您的新密码，然后按井号键。
vm-newuser: 欢迎使用语音信箱系统。首先，我将引导您完成简短的设置过程。
vm-next: 按6播放下一条消息。
vm-no: 否
vm-nobodyavail: 目前没有人可以接听您的电话
vm-nobox: 您无法回复此消息，因为发送者没有信箱
vm-nomore: 没有更多消息。
vm-nonumber: 很抱歉，我不知道是谁发送了此消息
vm-num-i-have: 我记录的号码是
vm-onefor: 按1代表
vm-onefor-full: 按1收听……
vm-options: 按1录制您的无法接听留言，按2录制您的忙线留言，按3录制您的姓名，按4录制您的临时问候语，按5更改密码，按星号键返回主菜单。
vm-opts: 按2切换文件夹，按3进入高级选项，按0进入信箱设置。
vm-opts-full: 按2访问其他文件夹中保存的消息。按3为其他信箱录制消息。按0管理问候语和密码。
vm-passchanged: 您的密码已更改。
vm-password: 密码
vm-pls-try-again: 请重试
vm-press: 按
vm-prev: 按4收听上一条消息
vm-reachoper: 按0联系话务员
vm-rec-busy: 听到提示音后，请说出您的忙线留言，然后按井号键。
vm-rec-name: 听到提示音后，请说出您的姓名，然后按井号键。
vm-rec-temp: 听到提示音后，请说出您的临时留言，然后按井号键。
vm-rec-unv: 听到提示音后，请说出您的无法接听留言，然后按井号键。
vm-received: 已收到
vm-record-prepend: 听到提示音后，请录制转发消息的前言。完成后，请按井号键。
vm-reenterpassword: 请重新输入您的密码，然后按井号键。
vm-repeat: 按5重听当前消息。
vm-review: 按1接受此录音，按2收听录音，按3重新录制您的消息
vm-review-nonurgent: 按4取消此消息的紧急标记。
vm-review-urgent: 按4将此消息标记为紧急。
vm-saved: 已保存
vm-savedto: 已保存到
vm-savefolder: 我应该将消息保存到哪个文件夹？
vm-savemessage: 按9保存此消息
vm-saveoper: 按1接受此录音，否则请继续等待
vm-sorry: 抱歉，我没有理解您的回复。
vm-star-cancel: 按星号键取消
vm-starmain: 按星号键返回主菜单
vm-tempgreetactive: 您的临时问候语当前已激活
vm-tempgreeting: 按1录制您的临时问候语
vm-tempgreeting2: 按1录制您的临时问候语，按2删除您的临时问候语
vm-tempremoved: 您的临时问候语已删除
vm-then-pound: 然后按井号键
vm-theperson: 分机上的用户
vm-tmpexists: 当前有一条临时问候语，它将覆盖您的标准问候语。
vm-tocallback: 按2回拨发送此消息的人
vm-tocallnum: 按1拨打此号码
vm-tocancel: 或按井号键取消。
vm-tocancelmsg: 按星号键取消此消息
vm-toenternumber: 按1输入号码
vm-toforward: 按8将消息转发给其他用户
vm-tohearenv: 按3收听消息详情
vm-tomakecall: 按4拨打外线电话
vm-tooshort: 您的消息太短
vm-toreply: 按1发送回复
vm-torerecord: 按3重新录制您的消息
vm-undelete: 按7恢复此消息
vm-undeleted: 消息已恢复。
vm-unknown-caller: 来自未知来电者
vm-whichbox: 要留言，请输入信箱号码。
vm-youhave: 您有
with: 与。
you-entered: 您输入了。
your: 您的。
